Original Message,Modified Message (Typo),Fixed Message,Original Intent,Predicted Intent,Original Confidence,Confidence,Match Y/N
I need help resetting my password.,I need hlp resetting my pssword,I need help resecting my password,recover_password,recover_password,1.0000,0.9983,Y
How do I cancel my order?,How do I cencel my ordr,Now do I cancel my order,cancel_order,cancel_order,1.0000,1.0000,Y
Where is my refund?,Where is my refnd,There is my refund,track_refund,track_refund,0.9989,0.9989,Y
I want to return an item.,I want to retrn an itm,I want to return an it,place_order,contact_human_agent,0.9999,0.9282,N
Can you update my shipping address?,Can you updat my shiping adres,An you update my shining acres,change_shipping_address,change_order,0.9998,0.9995,N
My payment was declined.,My paymnt was declined.,By payment was declined.,payment_issue,payment_issue,0.9980,0.9980,Y
How do I change my credit card?,How do I chaneg my credt crad,Now do I change my credit card,UNDEFINED,UNDEFINED,0.4825,0.4825,Y
I need to speak to customer service.,I need to speak to custmer srvice,I need to speak to customer service,contact_customer_service,contact_customer_service,1.0000,1.0000,Y
Can support help me with my login?,Can suport hlp me with my loging,An support help me with my losing,contact_customer_service,contact_customer_service,0.9610,0.9610,Y
I want to delete my account.,I want to delet my acount,I want to delete my count,delete_account,delete_account,0.9889,0.9936,Y
When will my delivery arrive?,When will my delivry arrive?,When will my delivery arrive?,delivery_period,delivery_period,1.0000,1.0000,Y
How can I track my package?,How can I trak my pakage,Now can I trap my package,UNDEFINED,contact_human_agent,0.5545,0.9884,N
I did not receive my missing item.,I did not recieve my mising itm,I did not receive my rising it,place_order,newsletter_subscription,0.9170,0.9994,N
My package was damaged in transit.,My pakage was damged in transit.,By package was damaged in transit.,contact_human_agent,contact_human_agent,0.9884,0.9884,Y
The item I received is broken.,The itm I received is brokn,The it I received is broken,place_order,contact_human_agent,0.9998,0.9898,N
You sent the wrong item.,You sent the rong itm,You sent the long it,place_order,contact_human_agent,0.9997,0.9782,N
I have an issue with my order.,I have an isue with my ordr,I have an issue with my order,set_up_shipping_address,set_up_shipping_address,0.8373,0.8373,Y
There is a problem with my account.,There is a probem with my acount,There is a problem with my count,delete_account,registration_problems,0.6044,0.9977,N
How do I create a new account?,How do I create a new acount,Now do I create a new count,create_account,create_account,1.0000,0.9988,Y
Can I get a refund for my order?,Can I get a refnd for my ordr,An I get a refund for my order,place_order,place_order,0.8949,0.8949,Y
Where do I find my account settings?,Where do I find my acount settings?,There do I find my count settings?,delete_account,check_invoice,0.7004,0.8221,N
I forgot my login password.,I forgot my loging pssword,I forgot my losing password,recover_password,recover_password,1.0000,1.0000,Y
Please cancel my subscription.,Please cencel my subscription.,Please cancel my subscription.,newsletter_subscription,newsletter_subscription,0.8026,0.8026,Y
How much does shipping cost?,How much does shiping cost?,Now much does shining cost?,change_shipping_address,contact_human_agent,0.9813,0.9898,N
What forms of payment do you accept?,What forms of paymnt do you accept?,That forms of payment do you accept?,payment_issue,payment_issue,0.9980,0.9980,Y
My credit card was charged twice.,My credt crad was charged twice.,By credit card was charged twice.,contact_human_agent,contact_human_agent,0.9898,0.9898,Y
Is there a phone number for customer support?,Is there a phone number for custmer suport,Is there a phone number for customer support,contact_customer_service,contact_customer_service,1.0000,1.0000,Y
I want to track the delivery of my package.,I want to trak the delivry of my pakage,I want to trap the delivery of my package,track_order,change_shipping_address,0.7011,0.7189,N
The item is missing from my package.,The itm is mising from my pakage,The it is rising from my package,place_order,contact_human_agent,0.9998,0.9884,N
How do I update my payment method?,How do I updat my paymnt method?,Now do I update my payment method?,check_payment_methods,check_payment_methods,1.0000,1.0000,Y
